Title,Year,Genre,Director,Cast,Runtime,Rating
10 Cent Pistol,2015,Mystery,Michael C. Martin,Damon Alexander,91,4.55175
10 Cloverfield Lane,2016,Drama,Dan Trachtenberg,Mary Elizabeth Winstead,90,8.47243
10 Cloverfield Lane,2016,Mystery,Dan Trachtenberg,Mary Elizabeth Winstead,90,8.47243
10 Cloverfield Lane,2016,SciFi,Dan Trachtenberg,Mary Elizabeth Winstead,90,8.47243
10 MPH,2006,Documentary,Hunter Weeks,Hunter Weeks,92,8.27027
10 Questions for the Dalai Lama,2007,Documentary,Rick Ray,Rick Ray,85,1.42618
10 Rules For Sleeping Around,2014,Comedy,Leslie Greif,Tammin Sursok,94,6.82169
10 Things I Hate About You,1999,Comedy,Gil Junger,Larisa Oleynik,97,8.8475
10 to Midnight,1983,Action,J. Lee Thompson,Charles Bronson,101,5.87917
10 to Midnight,1983,Drama,J. Lee Thompson,Charles Bronson,101,5.87917
10 to Midnight,1983,Mystery,J. Lee Thompson,Charles Bronson,101,5.87917
10 Years,2012,Comedy,Jamie Linden,Channing Tatum,115,8.83269
10 Years,2012,Drama,Jamie Linden,Channing Tatum,115,8.83269
10000 B.C.,2008,Action,Roland Emmerich,Steven Strait,109,8.36021
10000 B.C.,2008,Classics,Roland Emmerich,Steven Strait,109,8.36021
10000 B.C.,2008,Drama,Roland Emmerich,Steven Strait,109,8.36021
100 Bloody Acres,2013,Horror,Colin Cairnes,Damon Herriman,91,6.25591
100 Girls,2000,Romance,Michael Davis,Jonathan Tucker,95,7.46982
100 Streets,2017,Drama,Jim O'Hanlon,Idris Elba,93,5.36774
1001 Grams,2015,Drama,Bent Hamer,Ane Dahl Torp,93,8.68595
101 Dalmatians,1996,Action,Stephen Herek,Glenn Close,103,6.81206
101 Dalmatians,1961,Classics,Clyde Geronimi,Betty Lou Gerson,79,6.96136
101 Dalmatians,1961,Comedy,Clyde Geronimi,Betty Lou Gerson,79,6.96136
101 Dalmatians,1961,Kids&Family,Clyde Geronimi,Betty Lou Gerson,79,6.96136
101 Dalmatians,1961,Mystery,Clyde Geronimi,Betty Lou Gerson,79,6.96136
101 Dalmatians II: Patch's London Adventure,2002,Kids&Family,Jim Kammerud,Jason Alexander,73,7.34377
102 Dalmatians,2000,Comedy,Kevin Lima,Glenn Close,100,9.59712
102 Dalmatians,2000,Kids&Family,Kevin Lima,Glenn Close,100,9.59712
10x10,2018,Mystery,Suzi Ewing,Luke Evans,88,8.5605
11 Minutes (11 Minut),2016,Art&Foreign,Jerzy Skolimowski,Richard Dormer,81,8.86176
11 Minutes (11 Minut),2016,Drama,Jerzy Skolimowski,Richard Dormer,81,8.86176
11 Minutes (11 Minut),2016,Mystery,Jerzy Skolimowski,Richard Dormer,81,8.86176
12 Angry Men (Twelve Angry Men),1957,Classics,Sidney Lumet,Martin Balsam,95,9.69161
12 Angry Men (Twelve Angry Men),1957,Drama,Sidney Lumet,Martin Balsam,95,9.69161
12 O'clock Boys,2014,Documentary,Lotfy Nathan,"Steven ""AkA Moe""",76,3.4971
12 Rounds,2009,Action,Renny Harlin,John Cena,107,8.38876
12 Rounds,2009,Mystery,Renny Harlin,John Cena,107,8.38876
12 Years a Slave,2013,Drama,Steve McQueen (III),Chiwetel Ejiofor,134,5.21854
12:08 East of Bucharest (A fost sau n-a fost?),2007,Art&Foreign,Corneliu Porumboiu,Mircea Andreescu,88,8.20459
12:08 East of Bucharest (A fost sau n-a fost?),2007,Comedy,Corneliu Porumboiu,Mircea Andreescu,88,8.20459
12:08 East of Bucharest (A fost sau n-a fost?),2007,Drama,Corneliu Porumboiu,Mircea Andreescu,88,8.20459
127 Hours,2010,Drama,Danny Boyle,James Franco,94,9.35647
13 Assassins,2011,Action,Takashi Miike,Koji Yakusho,126,1.89022
13 Assassins,2011,Art&Foreign,Takashi Miike,Koji Yakusho,126,1.89022
13 Cameras,2016,Horror,Victor Zarcoff,Neville Archambault,87,8.77678
13 Ghosts,1960,Classics,William Castle,Donald Woods,88,6.30543
13 Ghosts,1960,Horror,William Castle,Donald Woods,88,6.30543
13 Going on 30,2004,Romance,Gary Winick,Jennifer Garner,98,1.03775
13 Hours: The Secret Soldiers Of Benghazi,2016,Action,Michael Bay,John Krasinski,144,6.15769
13 Hours: The Secret Soldiers Of Benghazi,2016,Drama,Michael Bay,John Krasinski,144,6.15769
13 Rue Madeleine,1947,Action,Henry Hathaway,James Cagney,95,2.15649
13 Rue Madeleine,1947,Classics,Henry Hathaway,James Cagney,95,2.15649
13 Rue Madeleine,1947,Drama,Henry Hathaway,James Cagney,95,2.15649
13 Rue Madeleine,1947,Mystery,Henry Hathaway,James Cagney,95,2.15649
13 Sins,2014,Horror,Daniel Stamm,Mark Webber,92,7.35798
13 Sins,2014,Mystery,Daniel Stamm,Mark Webber,92,7.35798
13 Tzameti,2005,Art&Foreign,Gla Babluani,George Babluani,93,6.35812
13 Tzameti,2005,Drama,Gla Babluani,George Babluani,93,6.35812
13 Tzameti,2005,Mystery,Gla Babluani,George Babluani,93,6.35812
14 Blades,2014,Action,Daniel Lee,Donnie Yen,116,7.34666
14 Blades,2014,Art&Foreign,Daniel Lee,Donnie Yen,116,7.34666
14 Cameras,2018,Horror,Seth Fuller,Amber Midthunder,90,1.73442
14 Hours,1951,Classics,Henry Hathaway,Richard Basehart,92,8.36093
14 Hours,1951,Drama,Henry Hathaway,Richard Basehart,92,8.36093
14 Hours,1951,Mystery,Henry Hathaway,Richard Basehart,92,8.36093
1492: Conquest of Paradise,1992,Action,Ridley Scott,Grard Depardieu,142,7.26635
1492: Conquest of Paradise,1992,Art&Foreign,Ridley Scott,Grard Depardieu,142,7.26635
1492: Conquest of Paradise,1992,Classics,Ridley Scott,Grard Depardieu,142,7.26635
1492: Conquest of Paradise,1992,Drama,Ridley Scott,Grard Depardieu,142,7.26635
15 Minutes,2001,Action,John Herzfeld,Robert De Niro,110,1.37632
15 Minutes,2001,Drama,John Herzfeld,Robert De Niro,110,1.37632
15 Minutes,2001,Mystery,John Herzfeld,Robert De Niro,110,1.37632
16 Acres,2012,Documentary,Richard Hankin,George Pataki,96,2.21191
16 Blocks,2006,Action,Richard Donner,Bruce Willis,101,3.57498
16 Blocks,2006,Drama,Richard Donner,Bruce Willis,101,3.57498
16 Blocks,2006,Mystery,Richard Donner,Bruce Willis,101,3.57498
16 Years of Alcohol,2003,Art&Foreign,Richard Jobson,Kevin Mckidd,97,2.5939
16 Years of Alcohol,2003,Drama,Richard Jobson,Kevin Mckidd,97,2.5939
17 Again,2009,Comedy,Burr Steers,Zac Efron,102,1.51661
17 Again,2009,Drama,Burr Steers,Zac Efron,102,1.51661
17 Again,2009,SciFi,Burr Steers,Zac Efron,102,1.51661
17 Girls,2012,Drama,Delphine Coulin,Louise Grinberg,90,4.21962
18 Again!,1988,Comedy,Paul Flaherty,George Burns,100,9.92483
1900 (Novecento),1977,Art&Foreign,Bernardo Bertolucci,Burt Lancaster,315,5.66523
1900 (Novecento),1977,Drama,Bernardo Bertolucci,Burt Lancaster,315,5.66523
2 Autumns 3 Winters,2014,Art&Foreign,Sbastien Betbeder,Vincent Macaigne,91,9.17153
2 Autumns 3 Winters,2014,Comedy,Sbastien Betbeder,Vincent Macaigne,91,9.17153
2 Autumns 3 Winters,2014,Drama,Sbastien Betbeder,Vincent Macaigne,91,9.17153
2 Days in New York,2012,Comedy,Julie Delpy,Chris Rock,91,4.48767
2 Days in New York,2012,Drama,Julie Delpy,Chris Rock,91,4.48767
2 Days in Paris,2007,Art&Foreign,Julie Delpy,Julie Delpy,86,1.23819
2 Days in Paris,2007,Comedy,Julie Delpy,Julie Delpy,86,1.23819
2 Days in Paris,2007,Drama,Julie Delpy,Julie Delpy,86,1.23819
2 Days in Paris,2007,Romance,Julie Delpy,Julie Delpy,86,1.23819
2 Days in the Valley,1996,Comedy,John Herzfeld,Danny Aiello,107,6.15117
2 Days in the Valley,1996,Drama,John Herzfeld,Danny Aiello,107,6.15117
2 Days in the Valley,1996,Mystery,John Herzfeld,Danny Aiello,107,6.15117
2 Fast 2 Furious,2003,Action,John Singleton,Paul Walker,108,8.1749
2 Fast 2 Furious,2003,Drama,John Singleton,Paul Walker,108,8.1749
2 Fast 2 Furious,2003,Mystery,John Singleton,Paul Walker,108,8.1749
2 Guns,2013,Action,Baltasar Kormkur,Denzel Washington,109,4.81981
2 Guns,2013,Drama,Baltasar Kormkur,Denzel Washington,109,4.81981
2 Guns,2013,Mystery,Baltasar Kormkur,Denzel Washington,109,4.81981
2 Jacks,2013,Drama,Bernard Rose,Danny Huston,90,4.08092
20 Centimeters (20 Centimetres) (20 centmetros),2005,Art&Foreign,Ramn Salazar,Mnica Cervera,113,4.75794
20 Centimeters (20 Centimetres) (20 centmetros),2005,Drama,Ramn Salazar,Mnica Cervera,113,4.75794
20 Feet From Stardom,2013,Documentary,Morgan Neville,Chris Botti,89,4.26006
20 Million Miles to Earth,1957,Classics,Nathan Juran,William Hopper,84,6.50714
20 Million Miles to Earth,1957,Horror,Nathan Juran,William Hopper,84,6.50714
20 Million Miles to Earth,1957,SciFi,Nathan Juran,William Hopper,84,6.50714
20000 Days on Earth,2014,Documentary,Iain Forsyth,Nick Cave,97,5.39859
20000 Leagues Under The Sea,1954,Action,Richard Fleischer,James Mason,127,3.47402
20000 Leagues Under The Sea,1954,Drama,Richard Fleischer,James Mason,127,3.47402
20000 Leagues Under The Sea,1954,Kids&Family,Richard Fleischer,James Mason,127,3.47402
2001: A Space Odyssey,1968,Classics,Stanley Kubrick,Keir Dullea,139,6.12822
2001: A Space Odyssey,1968,SciFi,Stanley Kubrick,Keir Dullea,139,6.12822
2016: Obama's America,2012,Documentary,Dinesh D'Souza,Barack Obama,87,9.04529
20th Century Women,2017,Comedy,Mike Mills,Annette Bening,118,3.81882
20th Century Women,2017,Drama,Mike Mills,Annette Bening,118,3.81882
21 And Over,2013,Comedy,Scott Moore,Miles Teller,93,7.10888
21 Grams,2003,Drama,Alejandro Gonzlez Irritu,Sean Penn,126,4.01325
21 Jump Street,2012,Action,Christopher Miller,Jonah Hill,109,1.32763
21 Years: Richard Linklater,2014,Documentary,Michael Dunaway,Billy Bob Thornton,79,5.8668
22 Bullets,2013,Action,Richard Berry,Jean Reno,117,8.78163
22 Bullets,2013,Art&Foreign,Richard Berry,Jean Reno,117,8.78163
22 Bullets,2013,Drama,Richard Berry,Jean Reno,117,8.78163
22 Bullets,2013,Mystery,Richard Berry,Jean Reno,117,8.78163
22 Jump Street,2014,Action,Phil Lord,Jonah Hill,110,5.84109
22 Jump Street,2014,Comedy,Phil Lord,Jonah Hill,110,5.84109
24 City (Er shi si cheng ji),2008,Art&Foreign,Zhangke Jia,Joan Chen,107,5.56408
24 City (Er shi si cheng ji),2008,Documentary,Zhangke Jia,Joan Chen,107,5.56408
24 City (Er shi si cheng ji),2008,Drama,Zhangke Jia,Joan Chen,107,5.56408
24 Days,2015,Drama,Alexandre Arcady,Zabou Breitman,110,3.9585
24 Exposures,2014,Mystery,Joe Swanberg,Adam Wingard,80,3.31342
24 Hour Party People,2002,Comedy,Michael Winterbottom,Steve Coogan,113,6.80969
24 Hour Party People,2002,Drama,Michael Winterbottom,Steve Coogan,113,6.80969
24 Hours to Live,2017,Action,Brian Smrz,Ethan Hawke,92,7.27887
24 Hours to Live,2017,Drama,Brian Smrz,Ethan Hawke,92,7.27887
24 Hours to Live,2017,Mystery,Brian Smrz,Ethan Hawke,92,7.27887
24: Redemption,2008,Action,Jon Cassar,Kiefer Sutherland,100,9.22848
24: Redemption,2008,Drama,Jon Cassar,Kiefer Sutherland,100,9.22848
24: Redemption,2008,Mystery,Jon Cassar,Kiefer Sutherland,100,9.22848
25th Hour,2003,Drama,Spike Lee,Edward Norton,134,3.09953
27 Dresses,2008,Comedy,Anne Fletcher,Katherine Heigl,111,5.76729
27 Dresses,2008,Romance,Anne Fletcher,Katherine Heigl,111,5.76729
28 Days,2000,Comedy,Betty Thomas,Sandra Bullock,103,5.90757
28 Days,2000,Drama,Betty Thomas,Sandra Bullock,103,5.90757
28 Days Later,2003,Horror,Danny Boyle,Cillian Murphy,108,7.73461
28 Days Later,2003,SciFi,Danny Boyle,Cillian Murphy,108,7.73461
28 Hotel Rooms,2012,Drama,Matt Ross,Marin Ireland,82,9.32071
28 Hotel Rooms,2012,Romance,Matt Ross,Marin Ireland,82,9.32071
28 Weeks Later...,2007,Horror,Juan Carlos Fresnadillo,Robert Carlyle,100,2.9283
28 Weeks Later...,2007,Mystery,Juan Carlos Fresnadillo,Robert Carlyle,100,2.9283
28 Weeks Later...,2007,SciFi,Juan Carlos Fresnadillo,Robert Carlyle,100,2.9283
29 Palms,2003,Drama,Leonardo Ricagni,Rachael Leigh Cook,93,9.44946
29 Palms,2003,Mystery,Leonardo Ricagni,Rachael Leigh Cook,93,9.44946
3 Backyards,2011,Drama,Eric Mendelsohn,Embeth Davidtz,85,8.28089
3 Days To Kill,2014,Mystery,McG,Kevin Costner,100,4.3655
3 Generations,2017,Drama,Gaby Dellal,Elle Fanning,87,1.53708
3 Hearts (3 coeurs),2015,Drama,Benot Jacquot,Benot Poelvoorde,106,1.82536
3 Hearts (3 coeurs),2015,Romance,Benot Jacquot,Benot Poelvoorde,106,1.82536
3 Holes and a Smoking Gun,2015,Mystery,Hilarion Banks,Joaquim de Almeida,90,7.86086
3 Nights In The Desert,2015,Drama,Gabriel Cowan,Amber Tamblyn,90,4.33979
3 Ninjas,1992,Action,Jon Turteltaub,Victor Wong,84,7.54196
3 Ninjas,1992,Comedy,Jon Turteltaub,Victor Wong,84,7.54196
3 Ninjas,1992,Kids&Family,Jon Turteltaub,Victor Wong,84,7.54196
3 Ninjas Kick Back,1994,Action,Charles T. Kanganis,Victor Wong,99,1.29125
3 Ninjas Kick Back,1994,Comedy,Charles T. Kanganis,Victor Wong,99,1.29125
3 Ninjas Kick Back,1994,Kids&Family,Charles T. Kanganis,Victor Wong,99,1.29125
3 Ninjas: High Noon at Mega Mountain,1998,Action,Sean McNamara,Hulk Hogan,93,4.86296
3 Women,1977,Classics,Robert Altman,Shelley Duvall,124,8.46308
3 Women,1977,Drama,Robert Altman,Shelley Duvall,124,8.46308
3 2 1... Frankie Go Boom,2012,Comedy,Jordan Roberts,Charlie Hunnam,89,9.08573
3 2 1... Frankie Go Boom,2012,Drama,Jordan Roberts,Charlie Hunnam,89,9.08573
3:10 to Yuma,2007,Action,James Mangold,Russell Crowe,122,5.22302
3:10 to Yuma,1957,Classics,Delmer Daves,Glenn Ford,92,3.1914
3:10 to Yuma,2007,Drama,James Mangold,Russell Crowe,122,5.22302
30 Beats,2012,Comedy,Alexis Lloyd,Paz de la Huerta,88,8.89794
30 Beats,2012,Romance,Alexis Lloyd,Paz de la Huerta,88,8.89794
30 Days of Night,2007,Horror,David Slade,Josh Hartnett,113,1.14657
30 Days of Night,2007,Mystery,David Slade,Josh Hartnett,113,1.14657
30 Days Of Night: Dark Days,2010,Horror,Ben Ketai,Kiele Sanchez,92,2.14948
30 Minutes or Less,2011,Action,Ruben Fleischer,Jesse Eisenberg,83,8.1949
30 Minutes or Less,2011,Comedy,Ruben Fleischer,Jesse Eisenberg,83,8.1949
300: Rise of an Empire,2014,Action,Noam Murro,Sullivan Stapleton,103,9.71136
300: Rise of an Empire,2014,Drama,Noam Murro,Sullivan Stapleton,103,9.71136
3000 Miles to Graceland,2001,Action,Demian Lichtenstein,Kurt Russell,126,6.15714
3000 Miles to Graceland,2001,Drama,Demian Lichtenstein,Kurt Russell,126,6.15714
3000 Miles to Graceland,2001,Mystery,Demian Lichtenstein,Kurt Russell,126,6.15714
31 North 62 East (Too Close to the Truth),2009,Art&Foreign,Tristan Loraine,John Rhys-Davies,100,4.55622
31 North 62 East (Too Close to the Truth),2009,Drama,Tristan Loraine,John Rhys-Davies,100,4.55622
31 North 62 East (Too Close to the Truth),2009,Mystery,Tristan Loraine,John Rhys-Davies,100,4.55622
33 Postcards,2013,Art&Foreign,Pauline Chan,Guy Pearce,97,9.76949
33 Postcards,2013,Drama,Pauline Chan,Guy Pearce,97,9.76949
3-4x juugatsu (Boiling Point),1990,Action,Takeshi Kitano,Hisashi Igawa,96,1.9595
3-4x juugatsu (Boiling Point),1990,Art&Foreign,Takeshi Kitano,Hisashi Igawa,96,1.9595
3-4x juugatsu (Boiling Point),1990,Comedy,Takeshi Kitano,Hisashi Igawa,96,1.9595
3-4x juugatsu (Boiling Point),1990,Drama,Takeshi Kitano,Hisashi Igawa,96,1.9595
3-4x juugatsu (Boiling Point),1990,Mystery,Takeshi Kitano,Hisashi Igawa,96,1.9595
36 quai des orfevres,2005,Art&Foreign,Olivier Marchal,Daniel Auteuil,105,1.395
36 quai des orfevres,2005,Drama,Olivier Marchal,Daniel Auteuil,105,1.395
372 le Matin (Betty Blue) (37.2 Degrees in the Morning),1986,Art&Foreign,Jean-Jacques Beineix,Jean-Hugues Anglade,121,8.11929
372 le Matin (Betty Blue) (37.2 Degrees in the Morning),1986,Drama,Jean-Jacques Beineix,Jean-Hugues Anglade,121,8.11929
372 le Matin (Betty Blue) (37.2 Degrees in the Morning),1986,Romance,Jean-Jacques Beineix,Jean-Hugues Anglade,121,8.11929
388 Arletta Avenue,2012,Art&Foreign,Randall Cole,Nick Stahl,86,7.81119
388 Arletta Avenue,2012,Drama,Randall Cole,Nick Stahl,86,7.81119
388 Arletta Avenue,2012,Mystery,Randall Cole,Nick Stahl,86,7.81119
3-Iron,2004,Drama,Kim Ki-duk,Lee Seung-yeon,87,1.84958
3-Iron,2004,Romance,Kim Ki-duk,Lee Seung-yeon,87,1.84958
4 (Chetyre),2006,Art&Foreign,Ilya Khrzhanovsky,Konstantin Murzenko,126,2.97428
4 (Chetyre),2006,Drama,Ilya Khrzhanovsky,Konstantin Murzenko,126,2.97428
4 Days in France (Jours de France),2017,Drama,Jrme Reybaud,Pascal Cervo,141,1.48326
4 Little Girls,1997,Documentary,Spike Lee,Chris McNair,102,4.6119
4 Minute Mile,2014,Drama,Charles-Olivier Michaud,Kelly Blatz,95,9.61333
4 Months 3 Weeks and 2 Days,2007,Drama,Cristian Mungiu,Anamaria Marinca,113,9.7994
4.3.2.1,2010,Drama,Noel Clarke,Emma Roberts,117,4.76686
4.3.2.1,2010,Mystery,Noel Clarke,Emma Roberts,117,4.76686
4/20 Massacre,2018,Horror,Dylan Reynolds,Jamie Bernadette,84,8.82232
4:44 Last Day on Earth,2012,Drama,Abel Ferrara,Willem Dafoe,85,4.72707
4:44 Last Day on Earth,2012,SciFi,Abel Ferrara,Willem Dafoe,85,4.72707
40 Days and 40 Nights,2002,Comedy,Michael Lehmann,Josh Hartnett,95,7.68854
40 Days and 40 Nights,2002,Mystery,Michael Lehmann,Josh Hartnett,95,7.68854
40 Days and 40 Nights,2002,Romance,Michael Lehmann,Josh Hartnett,95,7.68854
44 Inch Chest,2010,Comedy,Malcolm Venville,Ray Winstone,94,5.91904
44 Inch Chest,2010,Drama,Malcolm Venville,Ray Winstone,94,5.91904
44 Inch Chest,2010,Mystery,Malcolm Venville,Ray Winstone,94,5.91904
45 Years,2015,Drama,Andrew Haigh,Charlotte Rampling,95,3.32604
47 Meters Down,2017,Mystery,Johannes Roberts,Mandy Moore,89,6.54868
47 Ronin,2013,Action,Carl Erik Rinsch,Keanu Reeves,127,2.22797
47 Ronin,2013,Drama,Carl Erik Rinsch,Keanu Reeves,127,2.22797
47 Ronin,2013,SciFi,Carl Erik Rinsch,Keanu Reeves,127,2.22797
48 HRS,1982,Action,Walter Hill,Nick Nolte,96,4.43831
48 HRS,1982,Comedy,Walter Hill,Nick Nolte,96,4.43831
49th Parallel (The Invaders),1941,Action,Michael Powell,Richard George,105,9.92846
49th Parallel (The Invaders),1941,Classics,Michael Powell,Richard George,105,9.92846
49th Parallel (The Invaders),1941,Drama,Michael Powell,Richard George,105,9.92846
49th Parallel (The Invaders),1941,Mystery,Michael Powell,Richard George,105,9.92846
5 Broken Cameras,2012,Art&Foreign,Emad Burnat,Emad Burnat,90,6.17767
5 Broken Cameras,2012,Documentary,Emad Burnat,Emad Burnat,90,6.17767
5 Broken Cameras,2012,Drama,Emad Burnat,Emad Burnat,90,6.17767
5 Children and It,2004,Kids&Family,John Stephenson,Kenneth Branagh,89,4.7933
5 Children and It,2004,SciFi,John Stephenson,Kenneth Branagh,89,4.7933
5 Days Of War,2011,Action,Renny Harlin,Rupert Friend,113,1.72463
5 Days Of War,2011,Drama,Renny Harlin,Rupert Friend,113,1.72463
5 Fingers,1952,Classics,Joseph L. Mankiewicz,James Mason,108,9.71075
5 Fingers,1952,Mystery,Joseph L. Mankiewicz,James Mason,108,9.71075
5 Flights Up,2015,Drama,Richard Loncraine,Morgan Freeman,92,8.35415
5 to 7,2015,Comedy,Victor Levin,Anton Yelchin,95,3.6199
5 to 7,2015,Romance,Victor Levin,Anton Yelchin,95,3.6199
50 First Dates,2004,Comedy,Peter Segal,Adam Sandler,99,9.20481
50 to 1,2014,Drama,Jim Wilson,Skeet Ulrich,110,9.83256
50 to 1,2014,Kids&Family,Jim Wilson,Skeet Ulrich,110,9.83256
50/50,2011,Comedy,Jonathan Levine,Joseph Gordon-Levitt,100,1.34267
50/50,2011,Drama,Jonathan Levine,Joseph Gordon-Levitt,100,1.34267
500 Days of Summer,2009,Comedy,Marc Webb,Joseph Gordon-Levitt,95,9.34666
500 Days of Summer,2009,Drama,Marc Webb,Joseph Gordon-Levitt,95,9.34666
500 Days of Summer,2009,Romance,Marc Webb,Joseph Gordon-Levitt,95,9.34666
51 Birch Street,2006,Documentary,Doug Block,Mina Block,88,3.75054
52 Tuesdays,2015,Drama,Sophie Hyde,Tilda Cobham-Hervey,114,5.55292
52 Tuesdays,2015,Kids&Family,Sophie Hyde,Tilda Cobham-Hervey,114,5.55292
6 Balloons,2018,Drama,Marja-Lewis Ryan,Dave Franco,75,5.56125
6 Below: Miracle On The Mountain,2017,Drama,Scott Waugh,Josh Hartnett,89,1.04897
6 Below: Miracle On The Mountain,2017,Mystery,Scott Waugh,Josh Hartnett,89,1.04897
6 Month Rule,2012,Comedy,Blayne Weaver,Blayne Weaver,99,5.04077
6 Souls,2013,Horror,Bjrn Stein,Julianne Moore,112,9.71053
6 Souls,2013,Mystery,Bjrn Stein,Julianne Moore,112,9.71053
6 Ways To Die,2015,Action,Nadeem Soumah,Vinnie Jones,103,9.18826
6 Ways To Die,2015,Mystery,Nadeem Soumah,Vinnie Jones,103,9.18826
6 Years,2015,Drama,Hannah Fidell,Ben Rosenfield (II),85,4.95653
6 Years,2015,Romance,Hannah Fidell,Ben Rosenfield (II),85,4.95653
600 Miles,2015,Drama,Gabriel Ripstein,Tim Roth,83,9.01516
600 Miles,2015,Mystery,Gabriel Ripstein,Tim Roth,83,9.01516
61*,2001,Drama,Billy Crystal,Thomas Jane,130,5.85636
68 Kill,2017,Romance,Trent Haaga,Matthew Gray Gubler,93,7.10003
6ixtynin9,2000,Action,Pen-Ek Ratanaruang,Lalita Panyopas,111,6.80106
6ixtynin9,2000,Art&Foreign,Pen-Ek Ratanaruang,Lalita Panyopas,111,6.80106
6ixtynin9,2000,Comedy,Pen-Ek Ratanaruang,Lalita Panyopas,111,6.80106
6ixtynin9,2000,Mystery,Pen-Ek Ratanaruang,Lalita Panyopas,111,6.80106
7 Boxes,2014,Action,Tana Schmbori,Celso Sebastian Franco Ferreira,100,2.05589
7 Boxes,2014,Art&Foreign,Tana Schmbori,Celso Sebastian Franco Ferreira,100,2.05589
